id,label,fragment_id,in_english,validated
355,Key is a class in SimpleRDBMS package,2209,t,t
357,A Key is owned by one and only one Table in an RDBMS,5053,t,t
358,A Key refers to 0 or several opposite foreign keys in an RDBMS,5911,t,t
361,A Foreign Key refers to one and only one Key in an RDBMS,7988,t,t
27,"The metamodel is composed of a Publication class with the following attributes:
- title as String
- authors as String
- nbPages as Integer",1135,t,t
28,"The sample class is the FiniteAutomaton class the following attributes
- alphabet as String",2481,t,t
30,"The fragment is composed of the FiniteAutomaton class and the State class.
FiniteAutomaton has no attributes and a relation to State named finalStateSet with a multiplicity of one or more.
State has no attributes.",4584,t,t
31,"The fragment is composed of the Automatoon class with the following attributes:
- letter as String.",2647,t,t
32,"The fragment is composed of the Automatoon class and the State class. Automatoon has no attributes and an association to State named source with a multiplicity of 1.
State has no attributes.",4866,t,t
33,"The fragment is composed of the State class with the following attributes:
- name as String",1134,t,t
35,A contact has a name,333,t,t
38,the phone number of a land line is encoded as a String,1077,t,t
39,a cell phone number is mapped to a single contact,5490,t,t
40,the number of a cell phone number is encoded as a String,2298,t,t
41,Drawing Interchange Format,2715,t,t
42,a Drawing Interchange model may have multiple meshes,5649,t,t
43,a Mesh has a name of type String,2378,t,t
44,a Mesh may have any number of points,6703,t,t
45,a point maps to only one Mesh,7407,t,t
46,a point has a name of type String and coordinates X and Z of type Double,2381,t,t
47,A Petri Net model has the concept of  places,3093,t,t
48,in a Petri Net a Pace maps to a single Net,7657,t,t
49,a Petri Net has the concept of Transitions,2575,t,t
50,In a Petri Net a Place may be the destination of a Transition,7294,t,t
51,a Petri Net has the concept of Network (Net),4510,t,t
52,a Transition maps to a single Network,7221,t,t
53,"in a Petri Net a Transition must have a destination, and that destination must by a Place.",6051,t,t
54,in a Petri Net a Network may be composed of any number of Places.,6125,t,t
55,in a Petri Net a Place is mapped to a single Network,6277,t,t
56,"In CFG, there is a conditional node.",744,t,t
57,An expression has a name.,1646,t,t
58,PetriNet has a transition.,1431,t,t
59,A MSProject has at least one task.,7255,t,t
60,There is a place.,4397,t,t
61,A place may have transitions as its destination.,5286,t,t
62,A transition has exactly one net and vice versa.,7959,t,t
63,There is a Net.,1937,t,t
64,A transition has at least one destination place.,5644,t,t
65,A Net has at least one place.,6130,t,t
66,There is a MSProject.,4078,t,t
67,Every task has 0 or more tasks as predecessors.,5054,t,t
68,A NamedElement has a name String.,4516,t,t
69,A task is a kind of NamedElement and has a UID String.,1102,t,t
70,One UIML may have one Header head.,7312,t,t
71,There is UIML in the model.,2042,t,t
72,There are headers in the model.,518,t,t
73,A UIML has zero or more interfaces.,8009,t,t
74,A MetaData has a name String.,4228,t,t
75,A Header many have many MetaData metas.,4702,t,t
76,A table has zero or more fkeys.,6383,t,t
77,Tables have name String.,3568,t,t
78,Columns have name String.,2294,t,t
79,A table has zero or more columns.,6637,t,t
80,A FKey references exactly one table.,6131,t,t
81,There is a FKey in SimpleRDBMS.,4486,t,t
82,One abstract node has exactly one expression.,5941,t,t
83,There is an abstract node.,2159,t,t
84,"In a CFG, there is a node.",1715,t,t
85,Every node may have another node as in-node.,6693,t,t
86,A conditional node has exactly one true condition node.,6742,t,t
87,The ODPTV model has a Technology Object.,841,t,t
88,A class ImplementableStandard. TechnologyObject extends ImplementableStandard on a 1 to many basis.,7368,t,t
89,The Implementable standard implements or extends the technology object.,7152,t,t
90,Implementation implements the technology object class.,4361,t,t
91,Implementation Class. IXIT extends Implementation Class on a 0 to many basis.,6887,t,t
92,IXIT Class.,303,t,t
93,IXIT Class. Implementation extends IXIT on a 0 to many basis.,7017,t,t
